beta0_A,beta0_lambda,beta0_omega,beta0_phi,beta0_c,gn_sse,gn_iterations,gn_converged,gn_param_error,gn_grad_norm,lm_sse,lm_iterations,lm_converged,lm_param_error,lm_grad_norm
1.563308148063168,0.318897823357646,2.144935851042793,0.7253785776469003,-0.002508605051551127,0.18977593610450627,8,True,0.007977932376366374,1.075376638124156e-07,0.18977593610450627,8,True,0.00797793237647494,1.0751918969873149e-07
1.261999646494508,0.04881236756485545,0.2,0.19264667157493726,0.0832938279649594,0.18977593610450633,72,True,1.6645529385907885,1.4444263774386444e-07,25.123966269055515,80,False,0.9840363930706,0.757310520407969
2.01440398303769,0.01,2.0490103881510677,0.3305406983332475,0.08361634528190197,0.18977593610450838,6,False,0.007977928361111494,1.052003947547645e-06,0.18977593610450616,7,True,0.00797793262944961,1.7966674663925389e-09
2.082151103737591,0.2145738524404711,4.13983697190839,0.44592301226253483,0.06520286941646485,0.18977593610450622,38,True,1.6645529382410256,1.0281328752215154e-08,0.18977593610450633,30,True,0.00797793289146392,7.159244665060013e-08
1.1253901228332104,0.1790996149525466,2.2825173735259376,0.12046417471832171,0.10452448908139372,0.18977593610450638,8,True,0.007977932669037036,1.0471465321944563e-08,0.1897759361045065,12,True,0.007977932644706802,4.177470400675411e-09
1.478018097508346,0.45209688450407043,5.0,0.20136482730441302,0.0856308319225412,0.18977593610451,39,False,0.007977935156951395,1.5886761978911078e-06,0.1897759361045062,25,True,0.00797793274458892,2.772778738975695e-08
0.15851523856713756,0.07911515832438161,2.5049680057445447,0.9220487673108817,0.06354580811281958,0.1897759361045094,61,False,0.00797793008416163,1.3826948583002964e-06,0.18977593610450802,22,True,0.007977931157078264,9.802423391872137e-07
0.7897657767471187,0.01,1.7397345271281477,0.12815495584915293,0.07352802863169632,0.18977593610450672,9,True,0.00797793113163114,3.6144907729957876e-07,0.18977593610450624,15,True,0.007977932625235034,1.75892993133222e-09
0.6160485930292813,0.13868849348969314,0.2,6.269719471292739,0.2064623556014149,47.794230331006226,80,False,1.8325617030408252,212.04318757007638,0.18977593610450638,39,True,1.6645529381489041,1.452356523921352e-08
0.2958103866062559,0.01838573058544323,4.939061645314103,1.5167735092341423,0.041421668558732916,75.64402174131178,80,False,3.303513616112907,69.90766571288175,0.18977593610450705,30,True,1.6645529414338804,5.920421457009949e-07
1.0127658137053361,0.19098666611286116,4.765916231048948,0.1546000225501169,0.08773610770289453,0.18977593610450968,74,False,1.6645529311055762,1.2995240142183876e-06,0.18977593610450638,24,True,0.007977931711190068,1.515513626417293e-07
1.9063233093281604,0.20217192893599426,1.398150286031841,0.4531619624193856,0.03125520958150091,24.997995241918126,80,False,2.733268926195186,1.2037991092034537,0.18977593610450627,15,True,0.007977932772344895,2.3417643800351308e-08
1.1142244796997611,0.11803350119892539,2.3714718234020093,0.3056354734133444,0.12357692612725696,0.18977593610450982,10,False,0.007977931129705039,1.4770330112312082e-06,0.18977593610450616,17,True,0.007977933552315245,1.6039378543451198e-07
2.089918337899466,0.1686515193202159,2.562810253438726,0.5186043716522536,0.10000421965457072,2487.2202595934987,80,False,3.58585968261265,1034.5943665831774,0.18977593610450683,16,True,0.007977936169206164,6.223731454465933e-07
0.7371847338365791,0.18797931140079696,1.8443414425384168,1.2326089081257081,0.17866774512376213,0.18977593610450627,7,True,0.00797793266713784,5.7117439938145986e-09,0.18977593610450638,7,True,0.007977932667084697,5.704057875381218e-09
1.6009603109940704,0.05843313483662789,0.2201416448265312,0.9169000335811028,0.11313746125735694,25.399399678183656,80,False,2.5882957022169473,2.011423682601684,0.18977593610450627,58,True,0.007977932515480061,1.9739261665264103e-08
1.6745118546454565,0.01,3.4839015704930896,0.659047118375027,0.044478465779276104,0.1897759361045066,54,True,1.6645529382392612,1.4312919814229176e-08,15.886689323272131,80,False,0.48302080189132596,8.445020585183682
0.9322106501890398,0.18164606452278234,2.0839468773699896,0.39774008496875574,0.09482558659670197,0.18977593610450638,6,True,0.007977933815162151,2.0985353053573562e-07,0.18977593610450672,6,True,0.00797793381513153,2.0984439360742356e-07
1.1034576449986295,0.1683075014522962,4.354387156789052,5.884854852853632,0.08815748677451579,0.18977593610450894,33,False,1.6645529373559624,1.2766469314350512e-06,0.18977593610450655,22,True,0.007977932596647232,2.122518078644633e-08
1.4376796886705088,0.18551927876245192,1.4049366698859362,6.168332683312082,0.11639977418570549,27.51872596935751,80,False,3.2016112623909234,7.770167944815522,0.18977593610450624,20,True,0.007977932624219317,2.0370000124433622e-09
2.6473331670480644,0.01,3.3821248219171016,0.3850161719069871,0.09693378270855764,21.825608166558222,80,False,2.3872432011205946,1.4018188689766722,0.18977593610450627,32,True,0.007977932675053537,1.0087834788943685e-08
0.4787391616509198,0.1098652593172948,4.080071351518334,0.7039293346956974,0.1866155802704972,0.18977593610450644,52,True,0.007977932486350032,5.131205863956883e-08,0.18977593610450644,31,True,0.007977933823717703,2.0534252633317037e-07
2.2183812734026014,0.20269040147154913,4.790295241868467,0.6536476055584046,0.14139940883985297,0.1897759361045066,63,True,0.007977934191165792,3.394225620636885e-07,0.1897759361045061,29,True,0.007977932570262332,2.0203288449358484e-08
1.0686746562429275,0.15798549790310457,0.8841218827195569,0.8463543771081985,0.04108481884425672,25.475798284574076,80,False,3.424382608556522,1.9924891730437175,0.1897759361045065,20,True,0.007977932657062712,1.696214207745711e-08
1.910233267085776,0.12712187309938086,3.873995349547711,0.7628041460559409,0.19103230788234007,25.99393265774348,80,False,2.5883653849960986,16.29663192238695,0.18977593610450635,30,True,1.664552938330672,2.014657036539736e-07
