method,sse,param_error,cond_J_last,cond_JtJ_last,cond_JtJ_mu_last
GN(NormalEq),12.129782789443567,2.2881946151174644,27.333330065390196,747.1109324635762,
GN(QR),12.768922961495402,3.219639880342195,843.0781863783992,710780.8283470917,
LM(NormalEq),0.9413809171708839,1.7721024079689573,11.077020712499518,122.70038786514372,122.70037808974105
